fach,jahr,klausur_nr,thema,aufgabentyp,frage,antwort,punkte
FISI,2022,1,IT-Unternehmensdarstellung,offene Frage,Erstellen Sie eine Präsentationsfolie zur allgemeinen Vorstellung der AllRound AG.,"Stichpunkte: 1) Seit 1985 am Markt, 2) International tätig mit 720 MA, 3) Fokus auf große IT-Projekte.",3
FISI,2022,1,Leistungsangebote,offene Frage,Formulieren Sie drei Leistungsangebote der AllRound AG für einen Kunden.,1) Industrie 4.0: Flexible Produktionsoptimierung. 2) DSGVO-Beratung: Rechtssicherheit für Unternehmen. 3) Webhosting: Leistungsstarke Infrastruktur.,9
FISI,2022,1,CPU-Montage,offene Frage,Nennen Sie drei Schritte für den Einbau der CPU.,"1) Hebel anheben, 2) CPU ausrichten, 3) vorsichtig einsetzen und Hebel schließen.",2
FISI,2022,1,Fehlersuche WLAN,offene Frage,Welche Informationen gehören zur OSI-Schicht 1 und wie beurteilen Sie diese?,Mediendatast: Aktiviert > Die physikalische Verbindung besteht.,4
FISI,2022,1,Netzwerkanalyse,offene Frage,Beschreiben Sie die Herkunft der MAC-Adresse 50-1A-C5-F2-3B-87.,Die Adresse ist die physikalische Adresse des Netzwerkadapters (MAC).,2
FISI,2022,1,Workspace-Management,offene Frage,Nennen Sie vier Leistungsmerkmale einer Workspace-Management-Software.,"1) Automatische Installation, 2) Patchmanagement, 3) Lizenzverwaltung, 4) Remote-Inventarisierung",6
FISI,2023,1,Nutzwertanalyse,Berechnungsaufgabe,Berechnen Sie die gewichteten Punkte für die vier Arbeitsplatzmodelle und treffen Sie eine Entscheidung.,"z. B. All-in-One-PC = 3,10 Punkte, Thin-Client = 2,45 Punkte, Begründung bezogen auf Platzbedarf & Ergonomie.",16
FISI,2023,1,Bezugspreisermittlung,Rechenaufgabe,Berechnen Sie die Bezugspreise je Notebook für drei Anbieter und vergleichen Sie sie.,"z. B. Tech-Ware am günstigsten trotz höherem Listenpreis, da Rabatt und Skonto höher.",10
FISI,2023,1,Leasingvergleich,Vergleich,Vergleichen Sie Kauf und Leasing der Notebooks anhand des Gesamtpreises inkl. monatlicher Leasingraten.,"Kauf: 300.000 €, Leasing über 5 Jahre: 360.000 €, Differenz: 60.000 €",3
FISI,2023,1,Datenschutz und Härtung,Erklärungsfrage,Was bedeutet Härtung eines Betriebssystems und welche Maßnahmen zählen dazu?,"z. B. Deaktivierung unnötiger Dienste, Nutzung von GPOs, Einsatz von Bordmitteln wie Defender oder Firewall.",6
FISI,2023,1,KI-Chatbot,Bewertung,Nennen Sie wirtschaftliche und soziale Vor- und Nachteile eines KI-gestützten Chatbots.,"Vorteile: schnelle Bearbeitung, geringere Personalkosten. Nachteile: weniger persönlicher Kontakt, mögliche Akzeptanzprobleme.",4
FISI,2023,1,SQL & Datenbankabfrage,praktische Aufgabe,Erstellen Sie eine SQL-Abfrage zur Ermittlung der Versicherungssummen aus KFZ-Verträgen.,SELECT AVG(versicherungssumme) FROM kfz_vertrag;,3
FISI,2024,1,CAD-Arbeitsplätze,Berechnungsaufgabe,"Berechnen Sie laufende Kosten pro Monat für 5 CAD-Arbeitsplätze mit Softwareleasing, Wartungspauschale, Gerätenutzung.","Ergebnis aus Gerätenutzung (über Jahre), Softwareleasing, Wartung, Rabatt berücksichtigt.",7
FISI,2024,1,Kaufvertrag,Erklärungsfrage,"Erläutern Sie, wann ein Kaufvertrag zustande kommt und nennen Sie drei Inhalte, die in einem Kaufvertrag geregelt werden.","Kaufvertrag kommt durch Angebot und Annahme zustande. Inhalte z. B. Preis, Liefertermin, Zahlungsbedingung.",7
FISI,2024,1,Netzwerkanalyse,technische Auswertung,"Ordnen Sie LED-Anzeigen, OSI-Schichten und IPv6-Werte korrekt zu und interpretieren Sie ARP-Protokollausgabe.","z. B. LED = Verbindung vorhanden, OSI Layer 1–3, ARP löst IP in MAC auf.",10
FISI,2024,1,Dateiformate & Speicher,Rechenaufgabe + Erklärung,"Unterschied zwischen ASCII/Binär, Speicherbedarf PLY-Datei mit Farbkanälen & Berechnung Stromkosten CAD-PC.","z. B. ASCII = lesbar, Binär = kompakt; 3840 × 3 × 32 Bit, zusätzliche RGB-Werte = +24 Bit, Stromkosten durch 90% Wirkungsgrad berechnet.",10
FISI,2024,1,Datensicherheit Außendienst,Bewertung & Empfehlung,Empfehlen Sie Maßnahmen zur Geheimhaltung im Außendienst und geben Sie Empfehlungen zur Malware-Prävention.,"z. B. VPN, Blickschutz, getrennte Festplatten für Backups, Updates & Berechtigungen für Malware-Schutz.",9
FISI,2024,1,Malware & Sicherheitssoftware,Kategorisierung + Berechnung,Nennen Sie drei Arten von Malware mit Merkmalen und berechnen Sie die Übertragungszeit für 1 GiB bei 50 Mbit/s Upload.,"Malware: Virus = selbstvermehrend, Trojaner = getarnt, Ransomware = Erpressung. Upload-Zeit: ca. 2:44 Minuten.",6
FISI,2025,1,Multifunktionsgeräte,Entscheidungsmatrix & Berechnung,"Bewerten Sie Multifunktionsgeräte anhand von Kriterien wie Preis, Wartung, Druckgeschwindigkeit und berechnen Sie die monatlichen Kosten.","Matrix ausfüllen, bestes Gerät wählen, laufende Kosten bei Nutzung über 36 Monate berechnen.",10
FISI,2025,1,E-Mail-Verschlüsselung,Erklärungsaufgabe,"Beschreiben Sie den Ablauf der asymmetrischen Verschlüsselung, benennen Sie das IT-Schutzziel und vergleichen Sie Vor-/Nachteile gegenüber symmetrischer Verschlüsselung.","Public Key zum Verschlüsseln, Private Key zum Entschlüsseln; Schutzziel: Vertraulichkeit.",9
